ID,Τύπος,"Κωδικός προϊόντος","GTIN, UPC, EAN, ή ISBN",Όνομα,Δημοσιευμένο,"Είναι προτεινόμενο;","Ορατότητα στον κατάλογο","Σύντομη περιγραφή",Περιγραφή,"Ημερομηνία έναρξης εκπτωτικής τιμής","Ημερομηνία λήξης εκπτωτικής τιμής","Κατάσταση φόρου","Κατηγορία φόρου","Σε απόθεμα;",Απόθεμα,"Χαμηλή ποσότητα αποθέματος","Να επιτρέπονται λίστες αναμονής;","Μεμονωμένη πώληση;","Βάρος (κ.)","Μήκος (cm)","Πλάτος (cm)","Ύψος (cm)","Να επιτρέπονται αξιολογήσεις πελάτη;","Σημείωση αγοράς","Τιμή προσφοράς","Κανονική τιμή",Κατηγορίες,Ετικέτες,"Κλάση αποστολής",Εικόνες,"Όριο μεταφόρτωσης","Ημέρες λήξης μεταφόρτωσης",Γονέας,"Ομαδοποιημένα προϊόντα","Αύξηση πωλήσεων","Προϊόντα παράλληλης πώλησης","Εξωτερικό URL","Κείμενο κουμπιού",Θέση,Μάρκες,"Όνομα ιδιότητας 1","Τιμή(ές) ιδιότητας 1","Ιδιότητα 1 ορατή","Ιδιότητα 1 καθολική","Όνομα ιδιότητας 2","Τιμή(ές) ιδιότητας 2","Ιδιότητα 2 ορατή","Ιδιότητα 2 καθολική","Όνομα ιδιότητας 3","Τιμή(ές) ιδιότητας 3","Ιδιότητα 3 ορατή","Ιδιότητα 3 καθολική","Meta: _supplier","Meta: _supplier_product_id","Meta: _barcode","Meta: _last_synced","Meta: _manufacturer","Meta: _tech_specs"
284405,simple,9995237,,"Κρεβάτι παιδικό Houser",1,0,visible,,"<p>Μετατρέψτε τον ύπνο του παιδιού σας σε μαγική περιπέτεια με το παιδικό κρεβάτι Houser! Ένα μοναδικό έπιπλο που συνδυάζει την ποιότητα κατασκευής με τη δημιουργική διακόσμηση. Το πρωτότυπο design τύπου Montessori προσφέρει μια ξεχωριστή αισθητική στο υπνοδωμάτιο, μετατρέποντάς το σε χώρο φαντασίας.</p> <p>Κατασκευασμένο από ανθεκτικό ξύλο πεύκου σε φυσικό χρώμα και με προσεκτικά επιλεγμένα υλικά, το Houser θα αποτελέσει τον πιο ασφαλή και άνετο φίλο για τα όνειρα του παιδιού σας. Η μοναδική του σχεδίαση με στοιχεία κατοικίας και περιμετρικά κάγκελα δημιουργεί έναν ονειρικό χώρο ύπνου που εμπνέει τη φαντασία χωρίς να κάνει συμβιβασμούς στην ποιότητα και την ασφάλεια.</p>",,,taxable,,1,52,,0,0,37.5,96,196,145.5,1,,,"249,89",Υπνοδωμάτιο,κρεβάτι,,https://eboy.gr/app/uploads/sites/2/2026/05/krebati-paidiko-me-stroma-fb921315-xylo-.webp,,,,,,,,,0,B2BMarkt,ύψος,"145.5 εκ.",1,1,πλάτος,"196 εκ.",1,1,μήκος,"96 εκ.",1,1,B2BMarkt,75717,,"2026-05-09 23:01:00",B2BMarkt,"<ul>
<li>Κατασκευή από ξύλο πεύκου σε φυσικό χρώμα με αντοχή στη φθορά</li>
<li>Σκελετός κρεβατιού με σχήμα σπιτιού που περιλαμβάνει καμινάδα και περιμετρικά κάγκελα ασφαλείας ύψους 40 εκ.</li>
<li>Τοποθέτηση στρώματος σε τάβλες από κόντρα πλακέ για βέλτιστη αερισμό</li>
<li>Συμπεριλαμβανόμενο στρώμα τεχνολογίας συνεχόμενων ελατηρίων μονής όψης (δεν αναποδογυρίζεται)</li>
<li>Επιφάνεια που καθαρίζεται εύκολα με υγρό πανί, διατηρώντας την εμφάνιση της νέας επίπλωσης</li>
</ul>"
284407,simple,9995238,,"Παιδικό κρεβάτι Houser",1,0,visible,,"<!DOCTYPE html> <html lang=""el""> <head> <meta charset=""UTF-8""> <title>Παιδικό Κρεβάτι HOUSER</title> <style> .container { max-width: 700px; margin: 20px auto; line-height: 1.4; } </style> </head> <body> <div class=""container""> <p>Μετατρέψτε το υπνοδωμάτιο σε ένα μαγικό κόσμο με το παιδικό κρεβάτι HOUSER, ένα μοναδικό έπιπλο που εμπνέει τη φαντασία από την πρώτη κιόλας νύχτα! Το ιδιαίτερο σχήμα του σπιτιού με την καμινάδα δημιουργεί έναν παραμυθένιο χώρο μάθησης και παιχνιδιού, ενώ παράλληλα προσφέρει μέγιστη ασφάλεια χάρη στα ανθεκτικά περιμετρικά κάγκελα.</p> <p>Κατασκευασμένο από υψηλής ποιότητας ξύλο πεύκου σε λευκό χρώμα, το κρεβάτι είναι σχεδιασμένο να φιλοξενήσει στρώμα διαστάσεων 90x190εκ. Το ενσωματωμένο σύστημα τάβλων από κόντρα-πλακέ εξασφαλίζει την ιδανική στήριξη του στρώματος τεχνολογίας συνεχόμενων ελατηρίων, προσφέροντας απαράμιλλη άνεση και υγιεινή χρήση (μονής όψης). Ένα έπιπλο που συνδυάζει με αρμονία τη λειτουργικότητα με το στυλ, δημιουργώντας ένα ονειρεμένο χώρο για τα πιο όμορφα παιδικά χρόνια.</p> </div> </body> </html>",,,taxable,,1,75,,0,0,37.5,96,196,145.5,1,,,"249,89",Υπνοδωμάτιο,κρεβάτι,,https://eboy.gr/app/uploads/sites/2/2026/05/krebati-paidiko-me-stroma-fb92131501-xyl.webp,,,,,,,,,0,B2BMarkt,ύψος,"145.5 εκ.",1,1,πλάτος,"196 εκ.",1,1,μήκος,"96 εκ.",1,1,B2BMarkt,75718,,"2026-05-09 23:01:34",B2BMarkt,"<ul>
<li>Κατασκευή από ξύλο πεύκου με λευκή βαφή</li>
<li>Σχεδιασμός σχήματος σπιτιού με ενσωματωμένη καμινάδα και προστατευτικά κάγκελα ύψους 40 εκ.</li>
<li>Υποδοχή στρώματος σε τάβλες από κόντρα πλακέ για βέλτιστη στήριξη</li>
<li>Στρώμα τεχνολογίας συνεχόμενων ελατηρίων μονής όψης, διαστάσεων 90x190 εκ. με ύψος 18 εκ.</li>
<li>Επιφάνεια εύκολη στον καθαρισμό με απλό υγρό πανί</li>
</ul>"
284409,simple,0613148,5208067211918,"Σαλόνι Memfis",1,0,visible,,"<p>Απολαύστε την απόλυτη εμπειρία χαλάρωσης στον εξωτερικό σας χώρο με το εντυπωσιακό σαλόνι MEMFIS. Σχεδιασμένο για να μεταμορφώσει τον κήπο ή τη βεράντα σας σε ένα κομψό καταφύγιο, αυτό το σετ σαλονιού συνδυάζει αισθητική αρτιότητα και πρακτικότητα. Η μοντέρνα γκρι απόχρωση προσδίδει μια εκλεπτυσμένη πινελιά στον περιβάλλοντα χώρο, ενώ η υψηλή ποιότητα κατασκευής αλουμινίου εγγυάται αντοχή στις καιρικές συνθήκες.</p> <p>Φανταστείτε να χαλαρώνετε στους άνετους καναπέδες του MEMFIS με την οικογένεια και τους φίλους σας, περιτριγυρισμένοι από στυλ και άνεση. Το σετ προσφέρει έναν αρμονικό συνδυασμό καθισμάτων και τραπεζιών, δημιουργώντας το ιδανικό σημείο συνάντησης για κάθε περίσταση. Επενδύστε σε μια διαχρονική προσθήκη που θα αναβαθμίσει τον εξωτερικό σας χώρο και θα χαρίσει στιγμές χαλάρωσης για χρόνια.</p>",,,taxable,,1,38,,0,0,69.9,72,208,70,1,,,899,"Κήπος & Εξωτερικός Χώρος",τραπέζι,,https://eboy.gr/app/uploads/sites/2/2026/05/set-saloni-exchoroy-5tmch-fb9647001-aloy.webp,,,,,,,,,0,B2BMarkt,ύψος,"70 εκ.",1,1,πλάτος,"208 εκ.",1,1,μήκος,"72 εκ.",1,1,B2BMarkt,75720,5208067211918,"2026-05-09 23:02:07",B2BMarkt,"<ul>
<li>Σκελετός κατασκευασμένος από αλουμίνιο υψηλής αντοχής, με προστασία ενάντια στη διάβρωση μέσω ηλεκτροστατικής βαφής.</li>
<li>Επένδυση πλάτης με ανθεκτικό σχοινί διαμέτρου 5mm σε γκρι χρώμα για άνεση και μοντέρνο σχεδιασμό.</li>
<li>Κεραμικές επιφάνειες στα τραπεζάκια με αντοχή στους εξωτερικούς παράγοντες και εύκολο καθαρισμό.</li>
<li>Σχεδιασμός που επιτρέπει την αφαίρεση των μαξιλαριών για πλύσιμο.</li>
<li>Ελαφρύ σύνολο λόγω της χρήσης αλουμινίου, διευκολύνοντας τη μεταφορά και τοποθέτηση.</li>
</ul>"
284411,simple,0613150,5208067211994,"Σαλόνι Memfis",1,0,visible,,"<p>Ανακαλύψτε την τέλεια ισορροπία μεταξύ στυλ και άνεσης με το Σαλόνι MEMFIS. Σχεδιασμένο ειδικά για να μεταμορφώσει κάθε εξωτερικό χώρο σε προσωπικό παράδεισο χαλάρωσης, αυτό το σετ σαλονιού συνδυάζει άψογα τη μοντέρνα αισθητική με την κορυφαία ποιότητα κατασκευής.<br /> Η λευκή απόχρωση προσθέτει μια νότα καθαρής κομψότητας, ενώ η ανθεκτική κατασκευή αλουμινίου εξασφαλίζει μακροχρόνια απόλαυση ακόμη και στις πιο απαιτητικές καιρικές συνθήκες. Φανταστείτε να απολαμβάνετε στιγμές χαλάρωσης με την οικογένεια και φίλους σε έναν χώρο που συνδυάζει αρμονικά το στυλ με την πρακτικότητα.</p>",,,taxable,,1,36,,0,0,69.9,75,214,77,1,,,899,"Κήπος & Εξωτερικός Χώρος",τραπέζι,,https://eboy.gr/app/uploads/sites/2/2026/05/set-saloni-exchoroy-5tmch-fb9647003-aloy.webp,,,,,,,,,0,B2BMarkt,ύψος,"77 εκ.",1,1,πλάτος,"214 εκ.",1,1,μήκος,"75 εκ.",1,1,B2BMarkt,75721,5208067211994,"2026-05-09 23:02:37",B2BMarkt,"<ul>
<li>Κατασκευή από σκελετό αλουμινίου με ηλεκτροστατική βαφή (powder coating) για προστασία από τη σκουριά και αντοχή στις καιρικές συνθήκες.</li>
<li>Επένδυση πλάτης με σχοινί διαμέτρου Φ5mm σε μπεζ της άμμου, προσφέροντας μοντέρνο σχεδιασμό και άνεση.</li>
<li>Κεραμικές επιφάνειες στα τραπεζάκια με ανθεκτικότητα στους λεκέδες και τις μεταβολές θερμοκρασίας.</li>
<li>Σετ περιλαμβάνει 3θέσιο καναπέ, 2 πολυθρόνες και 2 στρογγυλά τραπεζάκια για πλήρη διάταξη εξωτερικού χώρου.</li>
<li>Ελαφρύ συνολικό βάρος λόγω χρήσης αλουμινίου, διευκολύνοντας τη μεταφορά και τοποθέτηση.</li>
</ul>"
284413,simple,0613096,5208067205283,"Σετ σαλονιού Stream",1,0,visible,,"<!DOCTYPE html> <html lang=""el""> <head> <meta charset=""UTF-8""> <title>Σετ Σαλονιού STREAM</title> </head> <body> <p>Ανανεώστε τον εξωτερικό σας χώρο με το σετ σαλονιού Stream, μια κομψή επιλογή για στιγμές χαλάρωσης. Το σετ συνδυάζει την αστική κομψότητα με την ανθεκτικότητα των εξωτερικών συνθηκών.</p> <p>Δημιουργήστε το ιδανικό περιβάλλον στον κήπο ή τη βεράντα σας, απολαμβάνοντας μοντέρνο design σε πράσινες και ανθρακί αποχρώσεις. Το Stream προσφέρει έναν μοναδικό συνδυασμό άνεσης και στυλ, μετατρέποντας κάθε εξωτερικό χώρο σε προσωπικό παράδεισο. Η αρμονική σύνθεση καναπέδων, πολυθρονών και τραπεζιών δημιουργεί ένα ελκυστικό σύνολο που εντυπωσιάζει και χαρίζει μοναδικές στιγμές.</p> </body> </html>",,,taxable,,1,9,,0,0,87.1,81,224,85,1,,,1575,"Κήπος & Εξωτερικός Χώρος",τραπέζι,,https://eboy.gr/app/uploads/sites/2/2026/05/set-saloni-5tmch-fb9642607-prasino-aloym.webp,,,,,,,,,0,B2BMarkt,ύψος,"85 εκ.",1,1,πλάτος,"224 εκ.",1,1,μήκος,"81 εκ.",1,1,B2BMarkt,75722,5208067205283,"2026-05-09 23:03:07",B2BMarkt,"<ul>
<li>Σκελετός από αλουμίνιο με ηλεκτροστατική βαφή υψηλής αντοχής στην εξωτερική χρήση</li>
<li>Πλέξη κατασκευασμένη από ανθεκτικό σχοινί strap σε ανθρακί χρώμα</li>
<li>Μαξιλάρια με αφαιρούμενα καλύμματα από Olefin ύφασμα, αδιάβροχα και ανθεκτικά στις καιρικές συνθήκες</li>
<li>Επιφάνειες τραπεζιών από 3D printed γυαλί (Glass Top) με ανθρακί φινίρισμα</li>
<li>Μπράτσα κατασκευασμένα από φυσικό ξύλο Teak, επεξεργασμένο για εξωτερική χρήση</li>
</ul>"
284415,simple,0613152,5208067205832,"Πολυθρόνα Alu Xantion",1,0,visible,,"<p>Ανακαλύψτε την τέλεια πολυθρόνα για τον εξωτερικό σας χώρο! Το ΧΑΝΤΙΟΝ είναι μια κομψή επιλογή που συνδυάζει αρμονικά τη μοντέρνα αισθητική με την απόλυτη άνεση. Κατασκευασμένη από ανθεκτικό αλουμίνιο και εξοπλισμένη με αναπαυτικά μαξιλάρια σε γκρι απόχρωση, προσφέρει ένα χαλαρωτικό καταφύγιο στη βεράντα ή τον κήπο σας.</p> <p>Με εργονομικό σχεδιασμό και διαστάσεις 71.5 x 77 εκ., αποτελεί ιδανική επιλογή για στιγμές χαλάρωσης χωρίς συμβιβασμούς στην ποιότητα. Η ξεχωριστή της εμφάνιση θα αναδείξει κάθε εξωτερικό χώρο, ενώ η ανθεκτικότητά της εξασφαλίζει μακροχρόνια απόλαυση.</p>",,,taxable,,1,10,,0,0,,77,71.5,70.5,1,,,"299,9","Κήπος & Εξωτερικός Χώρος",πολυθρόνα,,https://eboy.gr/app/uploads/sites/2/2026/05/polythrona-aloyminioy-fb9647101-me-schoi.webp,,,,,,,,,0,B2BMarkt,ύψος,"70.5 εκ.",1,1,πλάτος,"71.5 εκ.",1,1,μήκος,"77 εκ.",1,1,B2BMarkt,75723,5208067205832,"2026-05-09 23:03:37",B2BMarkt,"<ul>
<li>Σκελετός κατασκευασμένος από αλουμίνιο με ηλεκτροστατική βαφή για αυξημένη αντοχή στις καιρικές συνθήκες</li>
<li>Πλήρως ανακυκλώσιμο υλικό με φυσική αντίσταση στη διάβρωση και μηδενικό κίνδυνο σκουριάς</li>
<li>Αναπαυτικό κάθισμα με ευρύχωρο σχεδιασμό</li>
<li>Εύκολη μετακίνηση λόγω της ελαφριάς κατασκευής από αλουμίνιο</li>
<li>Διαθέτει ανθεκτικό σχοινί για επιπλέον στήριξη και άνεση</li>
<li>Προσφέρει προστασία UV μέσω της ειδικής βαφής του σκελετού</li>
</ul>"
284417,simple,0613151,5208067205818,"Πολυθρόνα Alu Xantion",1,0,visible,,"<!DOCTYPE html> <html lang=""el""> <head> <meta charset=""UTF-8""> <title>Πολυθρόνα Alu Xantion</title> </head> <body> <p>Μεταφέρετε τη πολυτελή ατμόσφαιρα ενός lounge στο σπίτι σας με την Πολυθρόνα Alu Xantion. Σχεδιασμένη για να προσφέρει μοναδική άνεση και στυλ στον εξωτερικό σας χώρο, συνδυάζει αριστοτεχνικά το αλουμίνιο με το σχοινί σε μια αρμονική σύνθεση λευκού.</p> <p>Απολαύστε στιγμές χαλάρωσης στη βεράντα ή τον κήπο σας, χάρη στο αναπαυτικό κάθισμα και την εργονομική σχεδίαση που αγκαλιάζει το σώμα. Η μοντέρνα αισθητική της ταιριάζει απόλυτα τόσο σε οικιακούς όσο και σε επαγγελματικούς χώρους φιλοξενίας, δημιουργώντας μια premium ατμόσφαιρα.</p> </body> </html>",,,taxable,,1,18,,0,0,,77,71.5,70.5,1,,,"299,9","Κήπος & Εξωτερικός Χώρος",πολυθρόνα,,https://eboy.gr/app/uploads/sites/2/2026/05/polythrona-aloyminioy-fb9647102-me-schoi.webp,,,,,,,,,0,B2BMarkt,ύψος,"70.5 εκ.",1,1,πλάτος,"71.5 εκ.",1,1,μήκος,"77 εκ.",1,1,B2BMarkt,75725,5208067205818,"2026-05-09 23:04:09",B2BMarkt,"<ul>
<li>Σκελετός κατασκευασμένος από αλουμίνιο με ηλεκτροστατική βαφή για αυξημένη αντοχή στις καιρικές συνθήκες και μακροχρόνια προστασία.</li>
<li>Πλήρως ανακυκλώσιμο υλικό ο σκελετού, μη-σκουριαστό και ανθεκτικό στη διάβρωση λόγω του φυσικού προστατευτικού στρώματος οξειδίου.</li>
<li>Εργονομικό κάθισμα με χαμηλό προφίλ για μέγιστη άνεση κατά τη χρήση.</li>
<li>Διαθέτει ρυθμιζόμενα μαξιλάρια που επιτρέπουν την προσαρμογή της άνεσης.</li>
<li>Η επιφάνεια στήριξης από σχοινί προσφέρει μοναδική αισθητική και αντοχή στην ηλιακή ακτινοβολία.</li>
</ul>"
284419,simple,0613157,5208067205924,"Ημέρα ξαπλώστρας Xantion",1,0,visible,,"<p>Ανακαλύψτε την απόλυτη εμπειρία χαλάρωσης με το daybed XANTION - τον τέλειο συνδυασμό στυλ και άνεσης για τον εξωτερικό σας χώρο. Σχεδιασμένο για να γίνει το επίκεντρο της ημέρας σας, αυτό το διπλό daybed συνδυάζει αρμονικά την κομψότητα με την ανθεκτικότητα.</p> <p>Απολαύστε στιγμές ηρεμίας δύο ατόμων σε ένα μοντέρνο περιβάλλον που συνδυάζει σκούρες αποχρώσεις και φυσικές υφές. Ο στιβαρός σκελετός από αλουμίνιο εξασφαλίζει μακροχρόνια αντοχή, ενώ η μαλακή επένδυση από σχοινί προσφέρει μοναδική αίσθηση ευεξίας. Δημιουργήστε τον προσωπικό σας παράδεισο χαλάρωσης, όπου κάθε στιγμή μπορεί να γίνει μια αξέχαστη εμπειρία.</p>",,,taxable,,1,1,,0,0,48,147,157,88,1,,,1099,"Κήπος & Εξωτερικός Χώρος",ξαπλώστρα,,https://eboy.gr/app/uploads/sites/2/2026/05/daybed-fb9647401-skoyro-gkri-aloyminio-s.webp,,,,,,,,,0,B2BMarkt,ύψος,"88 εκ.",1,1,πλάτος,"157 εκ.",1,1,μήκος,"147 εκ.",1,1,B2BMarkt,75726,5208067205924,"2026-05-09 23:04:40",B2BMarkt,"<ul>
<li>Σκελετός από ανθεκτικό αλουμίνιο σκούρου γκρι χρώματος</li>
<li>Επένδυση με σχοινί πάχους 6mm σε σκούρο γκρι χρώμα για στυλ και σταθερότητα</li>
<li>Μαξιλάρια επενδυμένα με ύφασμα OLEFIN 360g/m² υψηλής αντοχής στις καιρικές συνθήκες</li>
<li>Μοντέρνος σχεδιασμός με καθαρές γραμμές και έμφαση στην άνεση δύο ατόμων</li>
<li>Ύψος καθίσματος: 42 εκ., ύψος μπράτσων: 64 εκ.</li>
</ul>"
284421,simple,0613158,5208067205917,"Ημέρα ξαπλώστρας Xantion",1,0,visible,,"<p>Ανακαλύψτε το διπλό daybed XANTION - την απόλυτη επιλογή για όσους αναζητούν την τέλεια ισορροπία μεταξύ στυλ και άνεσης στον εξωτερικό τους χώρο. Με μοντέρνο σχεδιασμό σε ΛΕΥΚΟ χρώμα, αυτό το έπιπλο συνδυάζει αρμονικά την κομψότητα με τη λειτουργικότητα.</p> <p>Φανταστείτε ένα σημείο χαλάρωσης όπου δύο άτομα μπορούν να απολαύσουν στιγμές ηρεμίας και γαλήνης, περιτριγυρισμένοι από τον φυσικό κόσμο. Ο ανθεκτικός σκελετός αλουμινίου εγγυάται μακροχρόνια αντοχή, ενώ η επένδυση από σχοινί προσδίδει μια μοναδική αισθητική και απτική απόλαυση. Απολαύστε τις ζεστές μέρες του χρόνου σε ένα μέρος που συνδυάζει την ποιότητα με το απαράμιλλο στυλ.</p>",,,taxable,,1,8,,0,0,48,147,157,88,1,,,1099,"Κήπος & Εξωτερικός Χώρος",ξαπλώστρα,,https://eboy.gr/app/uploads/sites/2/2026/05/daybed-fb9647402-leyko-aloyminio-schoini.webp,,,,,,,,,0,B2BMarkt,ύψος,"88 εκ.",1,1,πλάτος,"157 εκ.",1,1,μήκος,"147 εκ.",1,1,B2BMarkt,75727,5208067205917,"2026-05-09 23:05:12",B2BMarkt,"<ul>
<li>Σκελετός από αλουμίνιο υψηλής αντοχής σε λευκό χρώμα</li>
<li>Επένδυση με σχοινί πάχους 6mm και ανοιχτής γκρι αποχρώσεως για στυλ και σταθερότητα</li>
<li>Μαξιλάρια επενδυμένα με ύφασμα Olefin 360g/m² ανθεκτικά στις καιρικές συνθήκες</li>
<li>Επιφάνεια επαφής από ανθεκτικό σχοινί που επιτρέπει καλό αερισμό</li>
<li>Μοντέρνος σχεδιασμός με καθαρές γραμμές και φωτεινές αποχρώσεις</li>
</ul>"
284423,simple,0613289,5208067209908,"Ξαπλώστρα αλουμινίου Marimar",1,0,visible,,"<p>Αποδράστε στην άνεση με την ξαπλώστρα MARIMAR - τον απόλυτο σύμμαχο για τις καλοκαιρινές σας στιγμές χαλάρωσης. Ο κομψός σχεδιασμός της συνδυάζει τη μοντέρνα αισθητική με την απόλυτη πρακτικότητα, δημιουργώντας ένα διαχρονικό κομμάτι για τον εξωτερικό σας χώρο.</p> <p>Με σκελετό από ανθεκτικό αλουμίνιο σε γήινη απόχρωση taupe και επένδυση από υψηλής ποιότητας ύφασμα textilene, η ξαπλώστρα προσφέρει μοναδική αίσθηση πολυτέλειας. Η εργονομική πλάτη με ρυθμιζόμενα επίπεδα παρέχει την τέλεια στήριξη, ενώ το μπεζ χρώμα της εναρμονίζεται αρμονικά με τη φύση, δημιουργώντας μια χαλαρωτική ατμόσφαιρα.</p>",,,taxable,,1,76,,0,0,10.52,67.5,220,31.5,1,,,"199,9","Κήπος & Εξωτερικός Χώρος",ξαπλώστρα,,https://eboy.gr/app/uploads/sites/2/2026/05/xaplostra-aloyminioy-fb9656203-skeletos-.webp,,,,,,,,,0,B2BMarkt,ύψος,"31.5 εκ.",1,1,πλάτος,"220 εκ.",1,1,μήκος,"67.5 εκ.",1,1,B2BMarkt,75728,5208067209908,"2026-05-09 23:05:43",B2BMarkt,"<ul>
<li>Σκελετός από αλουμίνιο υψηλής αντοχής και ποιότητας, χρώματος Taupe.</li>
<li>Επιφάνεια καθίσματος κατασκευασμένη από ανθεκτικό ύφασμα textilene σε μπεζ απόχρωση.</li>
<li>Ρυθμιζόμενη πλάτη με 4 θέσεις κλίσης και επίπεδη θέση για εξατομικευμένη χρήση.</li>
<li>Ανθεκτικότητα στην εξωτερική χρήση λόγω της ποιότητας των υλικών.</li>
<li>Ελαφρύ βάρος που διευκολύνει τη μεταφορά και αποθήκευση.</li>
</ul>"
